Från (MHZ),Till (MHZ),"Mängd
(MHZ)",Populärnamn,Duplexband,Användning idag,Tilldelningsform,Planerad förändring
1805,1875,70,1800 MHz-bandet,1710-1780,"Elektroniska
kommunikationstjänster
(MFCN).","Nationella blocktillstånd
Mobil kommunikation
(GSM) på
svenskregistrerade fartyg
och luftfartyg undantaget
från tillståndsplikt","Nytilldelning för del av
bandet det fjärde
kvartalet 2025, där
avsikten är att nya
tillstånd ska träda i kraft
1 januari 2028.
Gäller delbanden
17101720
MHz/18051815 MHz och
17551780
MHz/18501875 MHz."
1875,1880,5,1800 MHz-bandet,1780-1785,"Elektroniska
kommunikationstjänster
(MFCN).","Undantag från
tillståndsplikt",
1880,1900,20,DECT,,Trådlösa telefoner (DECT),"Undantag från
tillståndsplikt",
1900,1920,20,"2,1 GHz-bandet
(TDD)",,"Elektroniska
kommunikationstjänster
(MFCN).",Nationella blocktillstånd,"Framtida järnvägssystem
(FRMCS) i 1900-1910
MHz"
1920,1980,60,"2,1 GHz-bandet",2110-2170,"Elektroniska
kommunikationstjänster
(MFCN).",Nationella blocktillstånd,"Nya tillstånd fördelades
genom auktion i slutet av
2023. De nya tillstånden
träder i kraft 2026-01-01."
1980,2010,30,2 GHz MSS,2170-2200,"Mobil
satellitkommunikation
(MSS) Mobil videolänk","Blocktillstånd för
markkomponenter",
2010,2025,15,2010 MHz-bandet,,Mobil videolänk,Enskilda radiosändare,
2025,2110,85,TT&C,2200-2290,"Jordstationer (TT&C
upplänk) Mobil videolänk
MIL",Enskilda radiosändare,
2110,2170,60,"2,1 GHz-bandet",1920-1980,"Elektroniska
kommunikationstjänster
(MFCN).",Nationella blocktillstånd,"Nya tillstånd fördelades
genom auktion i slutet av
2023. De nya tillstånden
träder i kraft 2026-01-01."
2170,2200,30,2 GHz MSS,1980-2010,"Mobil
satellitkommunikation
(MSS)","Blocktillstånd för
markkomponenter",
2200,2290,90,TT&C,2025-2110,"Satellit (TT&C nedlänk),
Rymdforskning, VLBI,
Mobil videolänk, MIL","Satellitanvändning styrs av
koordinering",
2290,2300,10,,,Rymdforskning MIL,,
2300,2380,80,"2,3 GHz-bandet",,"Elektroniska
kommunikationstjänster
(MFCN), Sondraketer,
Ballonger, Radioastronomi,
Telemetri, Rymdforskning,
MIL","Nationella blocktillstånd
Enskilda tillstånd",
2380,2400,20,"2,3 GHz-bandet",,"Sondraketer, Ballonger,
Radioastronomi, Telemetri,
Rymdforskning, Videolänk,
MIL",Enskilda tillstånd,
2400,"2483,50","83,50","2,4 GHz-bandet",,"SRD Trådlösa nätverk
(WLAN, Bluetooth m.m.)
Amatörradio MIL","Undantag från
tillståndsplikt Amatörradio
undantaget från
tillståndsplikt",
"2483,50",2500,"16,50",,"1610-1626,5","Satellit (MSS nedlänk)
Satellit (navigationssystem
Galileo)","Satellitanvändning styrs av
koordinering",
2500,2690,190,"2,6 GHz-bandet",,"Elektroniska
kommunikationstjänster
(MFCN).",Nationella blocktillstånd,"Nya tillstånd fördelades
genom auktion i slutet av
2023. De nya tillstånden
träder i kraft 2026-01-01."
2690,2700,10,,,Radioastronomi,"Ingen radiosändning
tillåten",
2700,2900,200,"2,8 GHz-bandet",,"Radionavigering luftfart
Radar",,
2900,3100,200,,,"Radionavigering sjöfart
MIL","Enskilda radiosändare
Sjöfart (fartyg) undantagen
från tillståndsplikt",
3100,3300,200,,,"Radiolokalisering
Radioastronomi MIL",Enskilda radiosändare,
3300,3400,100,,,"Radiolokalisering
Radioastronomi MIL",Enskilda radiosändare,
3400,3720,320,"3,5 GHz-bandet",,"Elektroniska
kommunikationstjänster
(MFCN).",Nationella blocktillstånd,
3720,3800,80,"3,8 GHz-bandet",,"Elektroniska
kommunikationstjänster
(MFCN).",Enskilda lokala tillstånd,
3800,4200,400,4 GHz-bandet,,"Satellit (FSS nedlänk),
Video-PMSE, MIL,
Tillfälliga tillstånd för test.","Satellitanvändning styrs av
koordinering, Tillfälliga
tillstånd för test","Arbete pågår med att
implementera
kommissionsbeslut som
möjliggör lokala 5G-
tillstånd (låg- och medium
effekt) i 3,8-4,2 GHz."
4200,4400,200,,,"Luftfart (Radionavigering,
radarhöjdmätare samt
WAIC). Passiv
jordutforskning (EESS).
MIL",Enskilda radiosändare,
4400,4500,100,,,MIL,,
4500,4800,300,AP30B C-band,6725-7025,MIL,,
4800,4990,190,,,Radioastronomi MIL,,
4990,5000,10,,,Radioastronomi,,
5000,5150,150,MLS-bandet,,"Luftfartsradio, MIL",Enskilda radiosändare,
5150,5250,100,5 GHz-bandet,,"Luftfartsradio, Trådlösa
nätverk, MIL","SRD undantaget från
tillståndsplikt",
5250,5350,100,5 GHz-bandet,,"Trådlösa nätverk, MIL","SRD undantaget från
tillståndsplikt",
5350,5460,110,,,"Radionavigering för luftfart,
Luftfartsradio,
Jordutforskning via satellit
(aktiv), MIL",,
5460,5470,10,,,"Radionavigering för luftfart,
Jordutforskning via satellit
(aktiv), MIL",,
5470,5570,100,5 GHz-bandet,,"Radionavigering, Trådlösa
nätverk, MIL","SRD undantaget från
tillståndsplikt",
5570,5650,80,5 GHz-bandet,,"Radionavigering sjöfart,
Trådlösa nätverk,
Meteorologisk radar, MIL","SRD undantaget från
tillståndsplikt",
5650,5725,75,5 GHz-bandet,,"Trådlösa nätverk,
Amatörradio, MIL","SRD och amatörradio (upp
till 200 W) undantagna från
tillståndsplikt. Enskilda
radiosändare för
amatörradio med högre
effekt.",
5725,5830,105,ISM,,"SRD, Amatörradio, MIL","SRD och amatörradio (upp
till 200 W) undantaget från
tillståndsplikt. Enskilda
radiosändare för
amatörradio med högre
effekt.",
5830,5850,20,ISM,,"SRD, Amatörradio, MIL","SRD och amatörradio (upp
till 200 W) undantaget från
tillståndsplikt. Enskilda
radiosändare för
amatörradio med högre
effekt.",
5850,5875,25,ISM,,"SRD, Jordstationer (FSS
upplänk), ITS (icke
säkerhetsrelaterat)","SRD undantaget från
tillståndsplikt",
5875,5930,55,C-band,,"Jordstationer (FSS
upplänk), ISM, ITS
(säkerhetsrelaterat)","Enskilda radiosändare ITS
undantaget från
tillståndsplikt",
5930,6168,238,"Låga 6 GHz C-
band",6182-6420,"Trådlösa nätverk, Fast
radio, Jordstationer (FSS
upplänk) ITS
(säkerhetsrelaterat)","Undantag från
tillståndsplikt, Enskilda
radiosändare",
6168,6182,14,"Låga 6 GHz C-
band",,"Trådlösa nätverk,
Skyddsband (Fast radio)","Undantag från
tillståndsplikt, Enskilda
radiosändare",
6182,6425,243,"Låga 6 GHz C-
band",5930-6168,"Trådlösa nätverk, Fast
radio, Jordstationer (FSS
upplänk)","Undantag från
tillståndsplikt, Enskilda
radiosändare",
6425,6440,15,C-band,,"Skyddsband (Fast radio)
Jordutforskning via satellit
(användning över hav)",,
6440,6760,320,"Höga 6 GHz
AP30B C-band","6780-7100
4500-4800","Fast radio Ev.
Jordstationer (FSS
upplänk) Jordutforskning
via satelit (användning
över hav)",Enskilda radiosändare,
6760,6780,20,"Höga 6 GHz
AP30B C-band",4500-4800,"Skyddsband (Fast radio)
Ev. Jordstationer (FSS
upplänk) Jordutforskning
via satellit (användning
över hav)",Enskilda radiosändare,
6780,7100,320,"Höga 6 GHz
AP30B C-band","6440-6760
4500-4800","Fast radio Ev.
Jordstationer (FSS
upplänk) Jordutforskning
via satellit (användning
över hav)",Enskilda radiosändare,
7100,7250,150,,,"Jordutforskning via satellit
(användning över hav) MIL",,
7250,7427,177,X-band,,Satellit (FSS nedlänk) MIL,,
7427,7568,141,7 GHz X-band,7581-7722,"Fast radio Meteorologi via
satellit Ev. Satellit (FSS
nedlänk)",Enskilda radiosändare,"Ingen förändring. PTS
nuvarande inriktning är
att bandet kommer
fortsätta användas för
fast radio på minst tio års
sikt."
7568,7581,13,7 GHz X-band,,"Skyddsband (Fast radio)
Satellit (FSS nedlänk)",,
7581,7722,141,7 GHz X-band,7427-7568,"Fast radio Ev. Satellit (FSS
nedlänk)",Enskilda radiosändare,"Ingen förändring. PTS
nuvarande inriktning är
att bandet kommer
fortsätta användas för
fast radio på minst tio års
sikt."
7722,7750,28,X-band,,"Skyddsband (Fast radio)
Satellit (FSS nedlänk)",,
7750,7900,150,,,"Meteorologi via satellit (s-
E)",,
7900,8185,285,8 GHz X-band,8210-8495,"Fast radio Jordstationer
(FSS upplänk)
Jordutforskning via satellit",Enskilda radiosändare,"Ingen förändring. PTS
nuvarande inriktning är
att bandet kommer
fortsätta användas för
fast radio på minst tio års
sikt."
8185,8210,25,8 GHz X-band,,"Skyddsband (Fast radio)
Jordutforskning via satellit",Enskilda radiosändare,
8210,8495,285,8 GHz X-band,7900-8185,"Fast radio Jordstationer
(FSS upplänk)
Jordutforskning via satellit",Enskilda radiosändare,"Ingen förändring. PTS
nuvarande inriktning är
att bandet kommer
fortsätta användas för
fast radio på minst tio års
sikt."
8495,9800,1305,,,"Radiolokalisering
Radionavigering för luft-
och sjöfart Jordutforskning
(aktiv) SRD MIL",Enskilda radiosändare,
9800,9900,100,,9900-10000,"Jordutforskning (aktiv)
SRD MIL",Enskilda radiosändare,
9900,10000,100,,9800-9900,"Jordutforskning (aktiv)
SRD MIL",Enskilda radiosändare,
10000,10210,210,,,"Radiolokalisering,
Jordutforskning (aktiv),
SRD, Amatörradio, MIL","Enskilda radiosändare.
Amatörradio (upp till 200
W) och SRD undantaget
från tillståndsplikt.",
10210,10322,112,"10,5 GHz-bandet","10560-
10672","Elektroniska
kommunikationstjänster
(MFCN), Fast radio, SRD,
Radiobestämning,
Jordutforskning (aktiv),
Amatörradio","Blocktillstånd i samtliga
län. Enskilda radiosändare
för amatörradio med högre
effekt och fast radio.
Undantag från
tillståndsplikt för
amatörradio (upp till 200W)
SRD och radiobestämning.","Användning i hela landet
för fast radio, dels för
befintliga blocktillstånd,
dels för nya enskilda
sändartillstånd med en
giltighetstid på tio år och
förlängning med fem år i
taget."
10322,10560,238,,,"Skyddsband, SRD,
Radiobestämning,
Jordutforskning (aktiv),
Amatörradio, MIL","Amatörradio (upp till
200W), SRD och
radiobestämning
undantaget från
tillståndsplikt. Enskilda
radiosändare för
amatörradio med högre
effekt och övrig
användning.",
10560,10672,112,"10,5 GHz-bandet","10210-
10322","Elektroniska
kommunikationstjänster
(MFCN), Fast radio, SRD,
Radiobestämning,
Radioastronomi,
Jordutforskning via satellit","Blocktillstånd i samtliga
län. Enskilda radiosändare.
SRD undantaget från
tillståndsplikt","Användning i hela landet
för fast radio, dels för
befintliga blocktillstånd,
dels för nya enskilda
sändartillstånd med en
giltighetstid på tio år och
förlängning med fem år i
taget."
10672,10680,8,,,"Radioastronomi,
Jordutforskning via satellit",,
10680,10700,20,,,"Radioastronomi
Jordutforskning via satellit
Rymdforskning",All radiosändning förbjuden,
10700,10950,250,AP30B Ku-band,"12750-
13250","Satellit (FSS nedlänk,
AP30B)","Satellitanvändning styrs av
koordinering",
10950,11200,250,Ku-band,,Satellit (FSS nedlänk),"Satellitanvändning styrs av
koordinering",
11200,11450,250,AP30B Ku-band,"12750-
13250","Satellit (FSS nedlänk,
AP30B)","Satellitanvändning styrs av
koordinering",
11450,11700,250,Ku-band,,Satellit (FSS nedlänk),"Satellitanvändning styrs av
koordinering",
11700,12500,800,AP30 Ku-band,"17300-
18100","Satellit (BSS nedlänk,
AP30, Parabol-TV)","Satellitanvändning styrs av
koordinering",
12500,12750,250,Ku-band,,Satellit (FSS nedlänk),"Satellitanvändning styrs av
koordinering",
12750,12863,113,"13 GHz AP30B Ku-
band","FS: 13017-
13130, FSS:
10700-
10950, FSS:
11200-
11450","Fast radio Jordstationer
(FSS upplänk)",Enskilda radiosändare,"Ingen förändring. PTS
nuvarande inriktning är
att bandet kommer
fortsätta användas för
fast radio på minst tio års
sikt."
12863,13017,154,"13 GHz AP30B Ku-
band","FSS: 10700-
10950 FSS:
11200-
11450","Skyddsband (Fast radio)
Jordstationer (FSS
upplänk) MIL",Enskilda radiosändare,
13017,13129,112,"13 GHz AP30B Ku-
band","FS: 12751-
12863 FSS:
10700-
10950, FSS:
11200-
11450","Fast radio Jordstationer
(FSS upplänk) MIL",Enskilda radiosändare,"Ingen förändring. PTS
nuvarande inriktning är
att bandet kommer
fortsätta användas för
fast radio på minst tio års
sikt."
13129,13250,121,"13 GHz AP30B Ku-
band","FSS: 10700-
10950 FSS:
11200-
11450","Jordstationer (FSS
upplänk) MIL",Enskilda radiosändare,
13250,13750,500,,,"Radionavigering luftfart
Radiolokalisering SRD
Radiobestämning Satellit
(FSS nedlänk) MIL","SRD undantaget från
tillståndsplikt",
13750,14000,250,Ku-band,,"Jordstationer (FSS
upplänk) Radiolokalisering
Radiobestämning MIL","Enskilda radiosändare
SRD undantaget från
tillståndsplikt",
14000,14500,500,Ku-band,,"Jordstationer (FSS / MSS
upplänk)","Undantag från
tillståndsplikt",
14500,14781,281,15 GHz,"14921-
15201",Fast radio Rymdforskning,Enskilda radiosändare,"Ingen förändring. PTS
nuvarande inriktning är
att bandet kommer
fortsätta användas för
fast radio på minst tio års
sikt."
14781,14921,140,15 GHz,,"Skyddsband (Fast radio)
MIL",,
14921,15201,280,15 GHz,"14500-
14781",Fast radio,Enskilda radiosändare,"Ingen förändring. PTS
nuvarande inriktning är
att bandet kommer
fortsätta användas för
fast radio på minst tio års
sikt."
15201,15350,149,15 GHz,,"Skyddsband (Fast radio)
MIL",,
15350,15400,50,,,"Radioastronomi
Jordutforskning via satellit
(passiva sensorer för
väderrapporter)",All radiosändning förbjuden,
15400,17100,1700,,,"Radionavigering luftfart
MIL",Enskilda sändare,
17100,17300,200,,,"GBSAR, Radiobestämning,
SRD, MIL","Enskilda sändare SRD och
Radiobestämning
undantaget från
tillståndsplikt",
17300,17700,400,AP30A Ka-band,"11700-
12500","Jordstationer (FSS
upplänk)",Enskilda radiosändare,
17700,18690,990,"18 GHz AP30A Ka-
band","11700-
12500
18710-
19700","Fast radio, Jordstationer
(FSS upplänk), Satellit
(FSS nedlänk),
Jordutforskning (18,6-
18,8), Inter-satellit, MIL","Enskilda radiosändare
Satellitanvändning styrs av
koordinering","Ingen förändring. PTS
nuvarande inriktning är
att bandet kommer
fortsätta användas för
fast radio på minst tio års
sikt."
18690,18710,20,18 GHz Ka-band,,"Skyddsband (Fast radio)
Jordutforskning (18,6-18,8)
MIL",,
18710,19700,990,18 GHz Ka-band,"17700-
18690","Fast radio, Jordutforskning
(18,6-18,8), Satellit (FSS
nedlänk), Inter-satellit, MIL","Enskilda radiosändare
Satellitanvändning styrs av
koordinering","Ingen förändring. PTS
nuvarande inriktning är
att bandet kommer
fortsätta användas för
fast radio på minst tio års
sikt."
19700,21200,1500,Ka-band,,"Satellit (FSS nedlänk),
Inter-satellit","Satellitanvändning styrs av
koordinering",
21200,21400,200,,,Jordutforskning via satellit,,
21400,22000,600,Ka-band,,Satellit (BSS nedlänk),"Satellitanvändning styrs av
koordinering.",
22000,22600,600,23 GHz,"23000-
23600","Fast radio,
Radioastronomi, MIL",Enskilda radiosändare.,"Ingen förändring. PTS
nuvarande inriktning är
att bandet kommer
fortsätta användas för
fast radio på minst tio års
sikt."
22600,23000,400,23 GHz,,"Radioastronomi, MIL",,
23000,23600,600,23 GHz,"22000-
22600","Fast radio,
Radioastronomi, MIL",Enskilda radiosändare.,"Ingen förändring. PTS
nuvarande inriktning är
att bandet kommer
fortsätta användas för
fast radio på minst tio års
sikt."
23600,24000,400,,,"Jordutforskning via satellit,
Radioastronomi,
Rymdforskning (passiv)",All radiosändning förbjuden,
24000,24250,250,,,"SRD, Amatörradio,
Fordonsradar (SRR)","Amatörradio (upp till 200
W), SRD och fordonsradar
ugndantag från
tillståndsplikt. Enskilda
radiosändare för
amatörradio med högre
effekt.","Användning för
fordonsradar fasas ut."
24250,25100,850,26 GHz-bandet,,"Elektroniska
kommunikationstjänster
(MFCN), Fast radio
24,549-25,445 GHz /
25,557-26,453 GHz, SRD
(nivåmätare),
Fordonsradar (SRR)","Enskilda lokala tillstånd
(inomhus). Enskilda
tillstånd Fast radio.
Undantag från
tillståndsplikt.","Tilldelning av tillstånd för
enskilda sändare för fast
radio med en giltighetstid
på tio år och förlängning
med fem år i taget, med
villkor att fast radio-
användningen får
acceptera skadlig
störning från, och inte får
orsaka skadlig störning
på, användning av MFCN
i bandet. PTS
rekommenderar att
intressenterna gör en
bedömning av risken för
störningar från MFCN i
bandet innan en ansökan
om tillstånd för etablering
av fast radio i 26 GHz-
bandet lämnas in till PTS.
Användning för
fordonsradar fasas ut."
25100,26500,1400,26 GHz-bandet,,"Fast radio 24,549-25,445
GHz / 25,557-26,453 GHz,
Fordonsradar (SRR)","Enskilda radiosändare Fast
radio, SRR undantaget
från tillståndsplikt","25,1-27,5 GHz kan
komma att öppnas för
blocktillstånd, för
elektroniska
kommunikationstjänster
(MFCN), när efterfrågan
från marknaden är
tillräckligt stor. Enligt PTS
marknadskonsultationen
2025, är efterfrågan i
detta frekvensband inte
större än tillgången,
därför är tilldelning
genom en auktion inte
aktuell i närtid. En ny
efterfrågeanalys bör ske
inom 2-4 års tid.
Tilldelning av tillstånd för
enskilda sändare för fast
radio med en giltighetstid
på tio år och förlängning
med fem år i taget, med
villkor att fast radio-
användningen får
acceptera skadlig
störning från, och inte får
orsaka skadlig störning
på, användningen av
MFCN i bandet. PTS
rekommenderar att
intressenterna gör en
bedömning av risken för
störningar från MFCN i
bandet innan en ansökan
om tillstånd för etablering
av fast radio i 26 GHz-
bandet lämnas in till PTS.
Användning för
fordonsradar fasas ut."
26500,27500,1000,26 GHz-bandet,,"Fordonsradar (SRR),
Tillfälliga tillstånd för test","SRR undantag från
tillståndsplikt, Tillfälliga
tillstånd för test","25,1-27,5 GHz kan
komma att öppnas för
blocktillstånd för
elektroniska
kommunikationstjänster
(MFCN), när efterfrågan
från marknaden är
tillräckligt stor. Enligt PTS
marknadskonsultationen
2025, är efterfrågan i
detta frekvensband inte
större än tillgången,
därför är tilldelning
genom en auktion inte
aktuell i närtid. En ny
efterfrågeanalys bör ske
inom 2-4 års tid.
Användning för
fordonsradar fasas ut."
27500,"27940,50","440,50",Ka-band,,"Jordstationer (FSS
upplänk), Inter-satellit",Enskilda radiosändare,"Tillstånd för jordstationer
med en giltighetstid på tio
år och förlängning med
fem år i taget."
"27940,50","28444,50",504,28 GHz-bandet,"28948,50-
29452,50","Fast radio, Koordinerade
jordstationer FSS
(upplänk), Inter-satellit",Enskilda radiosändare,"För radiolänk i 28 GHz
gäller ett begränsat skydd
i relation till MFCN i 26
GHz efter 2025. Efter
samplanering med fast
radio, kan även tillstånd
för koordinerade
jordstationer utfärdas i
form av enskilda tillstånd."
"28444,50","28948,50",504,Ka-band,,"Jordstationer (FSS
upplänk), Inter-satellit",Enskilda radiosändare,"Tillstånd för jordstationer
med en giltighetstid på tio
år och förlängning med
fem år i taget."
"28948,50","29452,50",504,28 GHz-bandet,"27940,50-
28444,50","Fast radio, Koordinerade
jordstationer FSS
(upplänk), Inter-satellit",Enskilda radiosändare,"För radiolänk i 28 GHz
gäller ett begränsat skydd
i relation till MFCN i 26
GHz efter 2025. Efter
samplanering med fast
radio, kan även tillstånd
för koordinerade
jordstationer utfärdas i
form av enskilda tillstånd."
"29452,50",29500,"47,50",Ka-band,,"Jordstationer (FSS
upplänk), Inter-satellit",Enskilda radiosändare,"Tillstånd för jordstationer
med en giltighetstid på tio
år och förlängning med
fem år i taget."
29500,30000,500,Ka-band,,"Jordstationer (FSS / MSS
upplänk), Inter-satellit","Undantag från
tillståndsplikt",
30000,31000,1000,Ka-band,,"Utländska mottagande
satelliter MIL",,
31000,31300,300,31 GHz,,Radioastronomi,,
31300,31800,500,,,"Radioastronomi
Jordutforskning via satellit","All radiosändning förbjuden
i bandet 31300-31500 MHz",
31800,31815,15,,,Skyddsband (Fast radio),,
31815,32571,756,32 GHz,"32627-
33383",Fast radio,Enskilda radiosändare,"Ingen förändring. PTS
nuvarande inriktning är
att bandet kommer
fortsätta användas för
fast radio på minst tio års
sikt."
32571,32627,56,,,Skyddsband (Fast radio),,
32627,33383,756,32 GHz,"31815-
32571",Fast radio,Enskilda radiosändare,"Ingen förändring. PTS
nuvarande inriktning är
att bandet kommer
fortsätta användas för
fast radio på minst tio års
sikt."
33383,33400,17,,,Skyddsband (Fast radio),,
33400,34000,600,,,TOMT,,
34000,35200,1200,,,MIL,,
35200,37000,1800,,,"Jordutforskning via satellit
Radioastronomi MIL",,
37000,37058,58,,,Skyddsband (Fast radio),,
37058,38178,1120,38 GHz V-band,"38318-
39438","Fast radio, Jordutforskning",Enskilda radiosändare,"Ingen förändring. PTS
nuvarande inriktning är
att bandet kommer
fortsätta användas för
fast radio på minst tio års
sikt."
38178,38318,140,38 GHz V-band,,"Skyddsband (Fast radio),
Jordutforskning",,
38318,39438,1120,38 GHz V-band,"37058-
38178","Fast radio, Jordutforskning",Enskilda radiosändare,"Ingen förändring. PTS
nuvarande inriktning är
att bandet kommer
fortsätta användas för
fast radio på minst tio års
sikt."
39438,39500,62,,,"Skyddsband (Fast radio),
Jordutforskning",,
39500,40500,1000,V-band,,Jordutforskning,,
